scenario_id,design,method,seed,equal_budget_replications,policy_evaluation_budget,selected_idx,selected_alpha_on,selected_alpha_off,visited_policies,holdout_objective,exhaustive_holdout_objective,regret_vs_exhaustive,exact_match
R06,lhs,GP_BO,4,516,25,0,3.3242412372975574,3.3242412372975574,25,1.1374965977936264,1.1374965977936264,0.0,1
R07,lhs,diffusion_topk,0,833,41,120,36.8790576868024,2.3049411054251503,41,0.7439516309350573,0.7141029440485815,0.04179885706289028,0
R07,lhs,high_fidelity_local_search,0,833,41,101,32.269175475952096,25.35435215967665,41,0.717396880696995,0.7141029440485815,0.004612691595610331,0
R07,lhs,MIGR_H,0,833,41,146,39.18399879222755,25.35435215967665,52,0.7141029440485815,0.7141029440485815,0.0,1
R07,lhs,exhaustive,0,833,41,146,39.18399879222755,25.35435215967665,190,0.7141029440485815,0.7141029440485815,0.0,1
R07,lhs,random_RS,0,833,41,146,39.18399879222755,25.35435215967665,41,0.7141029440485815,0.7141029440485815,0.0,1
R07,lhs,GP_BO,0,833,41,146,39.18399879222755,25.35435215967665,41,0.7141029440485815,0.7141029440485815,0.0,1
R07,lhs,random_RS,1,833,41,147,39.18399879222755,27.6592932651018,41,0.7151590755052356,0.7141029440485815,0.001478962473766546,0
R07,lhs,GP_BO,1,833,41,146,39.18399879222755,25.35435215967665,41,0.7141029440485815,0.7141029440485815,0.0,1
R07,lhs,random_RS,2,833,41,146,39.18399879222755,25.35435215967665,41,0.7141029440485815,0.7141029440485815,0.0,1
R07,lhs,GP_BO,2,833,41,182,43.79388100307785,27.6592932651018,41,0.7165865020080614,0.7141029440485815,0.0034778710551162406,0
R07,lhs,random_RS,3,833,41,146,39.18399879222755,25.35435215967665,41,0.7141029440485815,0.7141029440485815,0.0,1
R07,lhs,GP_BO,3,833,41,146,39.18399879222755,25.35435215967665,41,0.7141029440485815,0.7141029440485815,0.0,1
R07,lhs,random_RS,4,833,41,145,39.18399879222755,23.0494110542515,41,0.7173736748397977,0.7141029440485815,0.004580195080380022,0
R07,lhs,GP_BO,4,833,41,146,39.18399879222755,25.35435215967665,41,0.7141029440485815,0.7141029440485815,0.0,1
R08,lhs,diffusion_topk,0,521,26,0,3.952109770314976,3.952109770314976,26,1.7316696625204528,1.7316696625204528,0.0,1
R08,lhs,high_fidelity_local_search,0,521,26,17,23.71265862188985,11.856329310944927,26,1.840319628898444,1.7316696625204528,0.06274289417292826,0
R08,lhs,MIGR_H,0,521,26,1,7.904219540629953,3.952109770314976,34,1.7390147617059806,1.7316696625204528,0.004241628380113157,0
R08,lhs,exhaustive,0,521,26,0,3.952109770314976,3.952109770314976,190,1.7316696625204528,1.7316696625204528,0.0,1
R08,lhs,random_RS,0,521,26,0,3.952109770314976,3.952109770314976,26,1.7316696625204528,1.7316696625204528,0.0,1
R08,lhs,GP_BO,0,521,26,0,3.952109770314976,3.952109770314976,26,1.7316696625204528,1.7316696625204528,0.0,1
R08,lhs,random_RS,1,521,26,6,15.808439081259904,3.952109770314976,26,1.7697624488668582,1.7316696625204528,0.021997721142126565,0
R08,lhs,GP_BO,1,521,26,0,3.952109770314976,3.952109770314976,26,1.7316696625204528,1.7316696625204528,0.0,1
R08,lhs,random_RS,2,521,26,4,11.856329310944927,7.904219540629953,26,1.7913971946714395,1.7316696625204528,0.034491296719983536,0
R08,lhs,GP_BO,2,521,26,0,3.952109770314976,3.952109770314976,26,1.7316696625204528,1.7316696625204528,0.0,1
R08,lhs,random_RS,3,521,26,6,15.808439081259904,3.952109770314976,26,1.7697624488668582,1.7316696625204528,0.021997721142126565,0
R08,lhs,GP_BO,3,521,26,0,3.952109770314976,3.952109770314976,26,1.7316696625204528,1.7316696625204528,0.0,1
R08,lhs,random_RS,4,521,26,2,7.904219540629953,7.904219540629953,26,1.7644445646217577,1.7316696625204528,0.018926763464574895,0
