scenario_id,method,budget_policies,seed,selected_idx,regret,exact
R03,GP_BO,30,1,1,0.0,1
R03,diffusion_residual_GP,30,1,1,0.0,1
R03,GP_BO,30,2,1,0.0,1
R03,diffusion_residual_GP,30,2,1,0.0,1
R03,GP_BO,30,3,1,0.0,1
R03,diffusion_residual_GP,30,3,1,0.0,1
R03,GP_BO,30,4,1,0.0,1
R03,diffusion_residual_GP,30,4,1,0.0,1
R03,GP_BO,44,0,1,0.0,1
R03,diffusion_residual_GP,44,0,1,0.0,1
R03,GP_BO,44,1,1,0.0,1
R03,diffusion_residual_GP,44,1,1,0.0,1
R03,GP_BO,44,2,1,0.0,1
R03,diffusion_residual_GP,44,2,1,0.0,1
R03,GP_BO,44,3,1,0.0,1
R03,diffusion_residual_GP,44,3,1,0.0,1
R03,GP_BO,44,4,1,0.0,1
R03,diffusion_residual_GP,44,4,1,0.0,1
R06,GP_BO,12,0,0,0.0,1
R06,diffusion_residual_GP,12,0,0,0.0,1
R06,GP_BO,12,1,0,0.0,1
R06,diffusion_residual_GP,12,1,0,0.0,1
R06,GP_BO,12,2,0,0.0,1
R06,diffusion_residual_GP,12,2,0,0.0,1
R06,GP_BO,12,3,0,0.0,1
R06,diffusion_residual_GP,12,3,0,0.0,1
R06,GP_BO,12,4,0,0.0,1
R06,diffusion_residual_GP,12,4,0,0.0,1
R06,GP_BO,20,0,0,0.0,1
R06,diffusion_residual_GP,20,0,0,0.0,1
R06,GP_BO,20,1,0,0.0,1
R06,diffusion_residual_GP,20,1,0,0.0,1
R06,GP_BO,20,2,0,0.0,1
R06,diffusion_residual_GP,20,2,0,0.0,1
R06,GP_BO,20,3,0,0.0,1
R06,diffusion_residual_GP,20,3,0,0.0,1
R06,GP_BO,20,4,0,0.0,1
R06,diffusion_residual_GP,20,4,0,0.0,1
R06,GP_BO,30,0,0,0.0,1
R06,diffusion_residual_GP,30,0,0,0.0,1
R06,GP_BO,30,1,0,0.0,1
R06,diffusion_residual_GP,30,1,0,0.0,1
R06,GP_BO,30,2,0,0.0,1
R06,diffusion_residual_GP,30,2,0,0.0,1
R06,GP_BO,30,3,0,0.0,1
R06,diffusion_residual_GP,30,3,0,0.0,1
R06,GP_BO,30,4,0,0.0,1
R06,diffusion_residual_GP,30,4,0,0.0,1
R06,GP_BO,44,0,0,0.0,1
R06,diffusion_residual_GP,44,0,0,0.0,1
R06,GP_BO,44,1,0,0.0,1
R06,diffusion_residual_GP,44,1,0,0.0,1
R06,GP_BO,44,2,0,0.0,1
R06,diffusion_residual_GP,44,2,0,0.0,1
R06,GP_BO,44,3,0,0.0,1
R06,diffusion_residual_GP,44,3,0,0.0,1
R06,GP_BO,44,4,0,0.0,1
R06,diffusion_residual_GP,44,4,0,0.0,1
R07,GP_BO,12,0,162,0.0047629077744463615,0
R07,diffusion_residual_GP,12,0,182,0.0034778710551162406,0
R07,GP_BO,12,1,146,0.0,1
R07,diffusion_residual_GP,12,1,182,0.0034778710551162406,0
R07,GP_BO,12,2,181,0.0005496556513014473,0
R07,diffusion_residual_GP,12,2,182,0.0034778710551162406,0
R07,GP_BO,12,3,180,0.0004834383825595385,0
R07,diffusion_residual_GP,12,3,182,0.0034778710551162406,0
R07,GP_BO,12,4,119,0.00811499983382563,0
R07,diffusion_residual_GP,12,4,182,0.0034778710551162406,0
R07,GP_BO,20,0,149,0.0008793787754072508,0
R07,diffusion_residual_GP,20,0,182,0.0034778710551162406,0
R07,GP_BO,20,1,146,0.0,1
R07,diffusion_residual_GP,20,1,182,0.0034778710551162406,0
R07,GP_BO,20,2,183,0.0026655642056135215,0
