scenario_id,rho,qH,tau,method,init_seed,selected_idx,reference_idx,same_policy_as_reference,replications,viol_cost,viol_B_H,viol_B_L,upper_cost,upper_B_H,upper_B_L,max_upper,certified,mean_cost_excess,median_cost_excess,p90_cost_excess,max_cost_excess,mean_delta_B_H,mean_delta_B_L
BG11,0.9,0.8,0.5,Guarded-GP,2,15,6,0,150,9,4,12,0.11551670716468626,0.0707199996213766,0.14061114438765027,0.14061114438765027,0,-0.0031841199454559314,0.0,0.0,0.871922355958314,0.0008642351052128185,0.0025376996245593574
BG11,0.9,0.8,0.5,Guarded-GP,3,21,6,0,150,11,5,17,0.1323483520228078,0.08012133003784622,0.18076388639907262,0.18076388639907262,0,-0.01715777421064424,0.0,6.797054430660595e-05,0.871922355958314,0.0018233736892623198,0.005194739619497622
BG11,0.9,0.8,0.5,Guarded-GP,4,21,6,0,150,11,5,17,0.1323483520228078,0.08012133003784622,0.18076388639907262,0.18076388639907262,0,-0.01715777421064424,0.0,6.797054430660595e-05,0.871922355958314,0.0018233736892623198,0.005194739619497622
BG12,0.9,0.8,2.0,DR-BGS,0,0,9,0,150,79,18,47,0.6152677579234329,0.18860545021921343,0.40086180232160096,0.6152677579234329,0,0.27083306854456607,0.08217608618252743,1.075754333034386,7.568161511093144,-0.003743249831290619,-0.02311122823990872
BG12,0.9,0.8,2.0,DR-BGS,1,0,9,0,150,79,18,47,0.6152677579234329,0.18860545021921343,0.40086180232160096,0.6152677579234329,0,0.27083306854456607,0.08217608618252743,1.075754333034386,7.568161511093144,-0.003743249831290619,-0.02311122823990872
BG12,0.9,0.8,2.0,DR-BGS,2,0,9,0,150,79,18,47,0.6152677579234329,0.18860545021921343,0.40086180232160096,0.6152677579234329,0,0.27083306854456607,0.08217608618252743,1.075754333034386,7.568161511093144,-0.003743249831290619,-0.02311122823990872
BG12,0.9,0.8,2.0,DR-BGS,3,0,9,0,150,79,18,47,0.6152677579234329,0.18860545021921343,0.40086180232160096,0.6152677579234329,0,0.27083306854456607,0.08217608618252743,1.075754333034386,7.568161511093144,-0.003743249831290619,-0.02311122823990872
BG12,0.9,0.8,2.0,DR-BGS,4,0,9,0,150,79,18,47,0.6152677579234329,0.18860545021921343,0.40086180232160096,0.6152677579234329,0,0.27083306854456607,0.08217608618252743,1.075754333034386,7.568161511093144,-0.003743249831290619,-0.02311122823990872
BG12,0.9,0.8,2.0,Guarded-GP,0,0,9,0,150,79,18,47,0.6152677579234329,0.18860545021921343,0.40086180232160096,0.6152677579234329,0,0.27083306854456607,0.08217608618252743,1.075754333034386,7.568161511093144,-0.003743249831290619,-0.02311122823990872
BG12,0.9,0.8,2.0,Guarded-GP,1,39,9,0,150,24,9,25,0.23465803031898322,0.11551670716468626,0.242191045753753,0.242191045753753,0,0.028526511151263676,0.0,0.2474346943318885,2.185964615888979,0.0015994512818393724,0.0028413949291756823
BG12,0.9,0.8,2.0,Guarded-GP,2,0,9,0,150,79,18,47,0.6152677579234329,0.18860545021921343,0.40086180232160096,0.6152677579234329,0,0.27083306854456607,0.08217608618252743,1.075754333034386,7.568161511093144,-0.003743249831290619,-0.02311122823990872
BG12,0.9,0.8,2.0,Guarded-GP,3,0,9,0,150,79,18,47,0.6152677579234329,0.18860545021921343,0.40086180232160096,0.6152677579234329,0,0.27083306854456607,0.08217608618252743,1.075754333034386,7.568161511093144,-0.003743249831290619,-0.02311122823990872
