scenario_id,design,policy_idx,alpha_on,alpha_off,gap_fraction,diffusion_objective,train_objective,train_objective_ci95_hw,holdout_objective,holdout_objective_ci95_hw,holdout_W,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_activation_rate,group
F27,factorial,159,36.0,14.0,0.55,4.306603747265525,3.57714067249376,0.0880507430953592,3.549405901335474,0.0360389606809955,0.5214434443649851,0.2524157312390621,0.1783329914252834,0.2318906640666381,0.1928148148148148,development
F27,factorial,160,36.0,16.0,0.5,4.359559027000165,3.627845409421953,0.0569858431406945,3.6083370345146073,0.0353223058736865,0.5336100190612811,0.2565421688043353,0.1809913274219705,0.2273080354201865,0.1959629629629629,development
F27,factorial,161,36.0,18.0,0.45,4.422625409750077,3.613700295476552,0.0629516288520055,3.67133152111597,0.0414056433735507,0.5421517104215686,0.2612085334669539,0.1848434080758035,0.2199438233414091,0.1972592592592592,development
F27,factorial,162,36.0,20.0,0.4,4.496829136284625,3.6806324890282247,0.0625942400746716,3.690006864559164,0.046937258255415,0.5485691778297348,0.2622699967769872,0.1853409793807276,0.2215410820309551,0.2055185185185185,development
F27,factorial,163,36.0,22.0,0.35,4.583236880783218,3.806638304829504,0.0661300068148498,3.783477636834658,0.0367428320730518,0.5642834586142453,0.2688834867889862,0.1906885881767009,0.2145513595551896,0.2064074074074074,development
F27,factorial,164,36.0,24.0,0.3,4.682950369720769,3.947702100914417,0.0799852988092486,3.842500156263148,0.0485840144195051,0.5754571327813316,0.2731090779655112,0.1933660260926092,0.210148714380723,0.2126666666666666,development
F27,factorial,165,36.0,26.0,0.25,4.796992544130596,3.972048777044457,0.0684424054560699,3.977374439199445,0.0365155099775612,0.5935101293386361,0.2832982618934311,0.2006689338732418,0.1968374249735745,0.2179999999999999,development
F27,factorial,166,36.0,28.0,0.2,4.926017650188198,4.11549315366352,0.0619162990810042,4.071523360358633,0.033195414307134,0.6089581537178167,0.2902291518212685,0.2051227514895883,0.1898672388166353,0.227037037037037,development
F27,factorial,167,36.0,30.0,0.15,5.069767831753792,4.2660093155819165,0.053504192150094,4.200724726540951,0.0436053980628308,0.6254056398681863,0.3001464093232304,0.2118004155688991,0.1774158180728484,0.237074074074074,development
F27,factorial,168,36.0,32.0,0.1,5.226212643164389,4.321228056777478,0.0573291705936784,4.346303461993784,0.0303963634289502,0.6462347048119015,0.3107550506657557,0.2210531927404488,0.1595410746928136,0.2423703703703704,development
