scenario_id,policy_idx,alpha_on,alpha_off,norm_W,norm_BH,norm_BL,norm_cloud
F04,148,34.0,26.0,0.8026024807216187,0.7008253608926936,0.6322635845929441,0.05486283099631172
F04,149,34.0,28.0,0.8365632520403501,0.7405267567677868,0.6756984079802256,0.048778824080784725
F04,150,34.0,30.0,0.8538777370703533,0.772159486019393,0.7066944738599141,0.0412721213842578
F04,151,34.0,32.0,0.8661858408331942,0.7989355708062787,0.7197795716360523,0.03784938208179641
F04,152,34.0,34.0,0.899714523876666,0.8328367219223142,0.7785154126204229,0.029554774334884733
F04,164,36.0,24.0,0.833582069575562,0.7754666169285169,0.7226516251887687,0.04512683561612538
F04,165,36.0,26.0,0.8553926540283292,0.7916441244479594,0.7547724561902,0.03491763703447347
F04,166,36.0,28.0,0.8704371511523626,0.8111648919486412,0.7612784442739811,0.03212241600325314
F04,167,36.0,30.0,0.9057672338615012,0.8493338196846891,0.8155156289632952,0.02503427183815247
F04,168,36.0,32.0,0.9239107175392048,0.8672373581081452,0.8462025058458476,0.020844615702007893
F04,169,36.0,34.0,0.9426346105551585,0.905819307426958,0.8844166548331868,0.012431586423382912
F04,170,36.0,36.0,0.9662605602817936,0.9470983892260053,0.9132540283234849,0.00941346879622357
F04,179,38.0,18.0,0.8171134078913307,0.7835734631288575,0.7582451398994632,0.054074792169086665
F04,181,38.0,22.0,0.8533591406566805,0.80498534526726,0.780032857973937,0.043847098227775765
F04,183,38.0,26.0,0.8929538183749578,0.8450434178989402,0.8213132442359165,0.03169992270522651
F04,184,38.0,28.0,0.9006735315299919,0.8744912789709776,0.853254823569642,0.02204380550314561
F04,185,38.0,30.0,0.9300530351884556,0.9039915075122267,0.8930621756336322,0.01548171101638576
F04,186,38.0,32.0,0.953692494954825,0.9301987583354545,0.9254518935908987,0.011069246413530917
F04,187,38.0,34.0,0.9724608482933372,0.9582380257948137,0.9380151058827942,0.007376425627139856
F04,188,38.0,36.0,0.9942424071951838,0.9947162393620169,0.978820566923767,0.0
F06,5,6.0,6.0,0.05251714334463169,0.05246275544929632,0.07997643877159398,0.8264438011602886
F06,7,8.0,4.0,0.0,0.0,0.0,0.8891492124211677
F06,8,8.0,6.0,0.058105352280182085,0.07530703350651304,0.09846970469642456,0.7862777353905792
F06,12,10.0,6.0,0.07005995377426555,0.08857822030317881,0.10987243641492124,0.7568571732023323
F06,19,12.0,10.0,0.0605463356176534,0.11025734627411478,0.13837003443234194,0.6395187147944136
F06,20,12.0,12.0,0.1265492581284771,0.14718336837490628,0.19620072242045197,0.602511635419179
F06,31,16.0,8.0,0.15132400419623307,0.21542056186903613,0.20463956493777002,0.561189670501697
F06,32,16.0,10.0,0.2230362038240773,0.258646738478747,0.2264606808170901,0.5246696835248132
F06,43,18.0,16.0,0.2823803832348581,0.29613954429993167,0.3574866129431444,0.4080621553632716
F06,44,18.0,18.0,0.31233354754069875,0.31926804866141695,0.3472959595868727,0.3920961951666418
F06,45,20.0,2.0,0.19910929036233646,0.20872019647956241,0.2015499413230708,0.5984894071848553
F06,48,20.0,8.0,0.2886485940090839,0.3101529869866183,0.3255301878949106,0.43920838902944387
F06,49,20.0,10.0,0.19071222638080318,0.2406404273167282,0.2320104545249954,0.4636239884794802
F06,50,20.0,12.0,0.29335237943273873,0.2990851450411029,0.3203617931369268,0.4344427171360792
F06,51,20.0,14.0,0.27557856151791427,0.32698242385769455,0.285584520895648,0.3904457881152104
F06,57,22.0,6.0,0.2647169395106211,0.3061134363736013,0.28767190700683487,0.4402089220207686
F06,58,22.0,8.0,0.27759430164013077,0.31335419203274495,0.35508354065726505,0.41468614213140914
F06,59,22.0,10.0,0.29464526946745007,0.35229906675162387,0.36198679026458236,0.36915628170822795
F06,61,22.0,14.0,0.2944517407081166,0.3693663883059443,0.36131570601893453,0.34718375886016883
F06,62,22.0,16.0,0.3489040034963513,0.4023686742049071,0.3530087628141686,0.3088368574374119
F06,71,24.0,12.0,0.3667801588403508,0.3387935556184548,0.3530563706800642,0.34608756906018184
