scenario_id,design,policy_count,pareto_count,pareto_fraction,distinct_optima_287,equal_weight_idx,robust_idx,robust_is_pareto,robust_differs_from_equal,equal_weight_max_normalized_regret,robust_max_normalized_regret,max_regret_reduction,robust_equal_weight_penalty,equal_profile_fraction_regret_gt_5pct,robust_profile_fraction_regret_gt_5pct,equal_alpha_on,equal_alpha_off,robust_alpha_on,robust_alpha_off
V03,fresh_lhs,190,130,0.6842105263157895,15,0,53,1,1,1.0,0.4712944899012544,0.5287055100987457,0.1736311479018278,0.1777003484320557,0.8432055749128919,2.9794386783181643,2.9794386783181643,29.79438678318164,26.814948104863475
V04,fresh_lhs,190,107,0.5631578947368421,11,0,63,1,1,1.0,0.4372950335937804,0.5627049664062196,0.1625312941591914,0.1951219512195122,0.7770034843205574,1.629930526442986,1.629930526442986,17.929235790872845,14.669374737986873
V05,fresh_lhs,190,109,0.5736842105263158,10,0,61,1,1,1.0,0.4692593793108107,0.5307406206891894,0.2103535801464189,0.1742160278745644,0.926829268292683,3.421527797013072,3.421527797013072,37.63680576714378,23.950694579091504
V06,fresh_lhs,190,128,0.6736842105263158,10,0,51,1,1,1.0,0.4818411323117496,0.5181588676882505,0.2250342683417382,0.1219512195121951,0.926829268292683,2.1433162625806115,2.1433162625806115,21.43316262580612,15.00321383806428
V07,fresh_lhs,190,155,0.8157894736842105,13,1,184,1,1,0.9879408667154342,0.6576381486194103,0.3343345024223642,0.2604678979721144,0.1254355400696864,0.9651567944250872,7.742921714342159,3.87146085717108,73.55775628625051,54.2004520003951
V08,fresh_lhs,190,137,0.7210526315789474,15,0,99,1,1,1.0,0.4819370705024762,0.5180629294975237,0.1887325319947291,0.156794425087108,0.8641114982578397,3.238915399423914,3.238915399423914,45.34481559193479,29.15023859481522
V09,fresh_lhs,190,118,0.6210526315789474,12,1,83,1,1,0.9680310150174952,0.4427300165706185,0.5426489340709636,0.1741469340540236,0.1951219512195122,0.7874564459930313,5.456590035203533,2.7282950176017664,35.46783522882296,16.3697701056106
V10,fresh_lhs,190,95,0.5,12,0,51,1,1,1.0,0.4093594944621286,0.5906405055378714,0.138809650102588,0.1951219512195122,0.8292682926829268,1.8490482228312424,1.8490482228312424,18.490482228312423,12.943337559818696
V11,fresh_lhs,190,115,0.6052631578947368,13,4,161,1,1,0.9005904744761817,0.4442078714574762,0.5067593050927562,0.1686620456799349,0.1742160278745644,0.8745644599303136,10.922324259511171,7.281549506340781,65.53394555706703,32.766972778533514
V12,fresh_lhs,190,109,0.5736842105263158,13,0,54,1,1,1.0,0.4492354291021365,0.5507645708978635,0.1506044906070532,0.1951219512195122,0.7770034843205574,2.4996380088394683,2.4996380088394683,24.99638008839468,24.99638008839468
