scenario_id,rho,qH,tau,method,init_seed,selected_idx,exhaustive_train_idx,vc,vh,vl,uc,uh,ul,cert,mean_cost_ex,max_cost_ex,mean_dbh,mean_dbl
BG11,0.9,0.8,0.5,DR-BGS,2,6,6,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG11,0.9,0.8,0.5,DR-BGS,3,6,6,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG11,0.9,0.8,0.5,DR-BGS,4,6,6,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0
BG11,0.9,0.8,0.5,Guarded-GP,0,15,6,11,4,16,0.1323483520228078,0.0707199996213766,0.1728659975515368,0,0.0020218797867123444,1.0304221305503363,0.0003850364817327588,-0.0002473810052389285
BG11,0.9,0.8,0.5,Guarded-GP,1,21,6,17,5,21,0.18076388639907262,0.08012133003784622,0.2118283471912815,0,0.0005875872757153785,1.0304221305503363,0.0008580767551642465,-0.0009632229051397663
BG11,0.9,0.8,0.5,Guarded-GP,2,15,6,11,4,16,0.1323483520228078,0.0707199996213766,0.1728659975515368,0,0.0020218797867123444,1.0304221305503363,0.0003850364817327588,-0.0002473810052389285
BG11,0.9,0.8,0.5,Guarded-GP,3,21,6,17,5,21,0.18076388639907262,0.08012133003784622,0.2118283471912815,0,0.0005875872757153785,1.0304221305503363,0.0008580767551642465,-0.0009632229051397663
BG11,0.9,0.8,0.5,Guarded-GP,4,21,6,17,5,21,0.18076388639907262,0.08012133003784622,0.2118283471912815,0,0.0005875872757153785,1.0304221305503363,0.0008580767551642465,-0.0009632229051397663
BG12,0.9,0.8,2.0,DR-BGS,0,0,9,100,18,38,0.7472540337921116,0.18860545021921343,0.3373512446667611,0,0.43812387851147216,10.276088313294748,-0.00870248834053414,-0.02966470650285886
BG12,0.9,0.8,2.0,DR-BGS,1,0,9,100,18,38,0.7472540337921116,0.18860545021921343,0.3373512446667611,0,0.43812387851147216,10.276088313294748,-0.00870248834053414,-0.02966470650285886
BG12,0.9,0.8,2.0,DR-BGS,2,0,9,100,18,38,0.7472540337921116,0.18860545021921343,0.3373512446667611,0,0.43812387851147216,10.276088313294748,-0.00870248834053414,-0.02966470650285886
BG12,0.9,0.8,2.0,DR-BGS,3,0,9,100,18,38,0.7472540337921116,0.18860545021921343,0.3373512446667611,0,0.43812387851147216,10.276088313294748,-0.00870248834053414,-0.02966470650285886
BG12,0.9,0.8,2.0,DR-BGS,4,0,9,100,18,38,0.7472540337921116,0.18860545021921343,0.3373512446667611,0,0.43812387851147216,10.276088313294748,-0.00870248834053414,-0.02966470650285886
BG12,0.9,0.8,2.0,Guarded-GP,0,0,9,100,18,38,0.7472540337921116,0.18860545021921343,0.3373512446667611,0,0.43812387851147216,10.276088313294748,-0.00870248834053414,-0.02966470650285886
BG12,0.9,0.8,2.0,Guarded-GP,1,39,9,16,5,24,0.1728659975515368,0.08012133003784622,0.23465803031898322,0,-0.009696123235836124,2.0076637286762136,0.0002631866420964348,0.0044540819323363135
BG12,0.9,0.8,2.0,Guarded-GP,2,0,9,100,18,38,0.7472540337921116,0.18860545021921343,0.3373512446667611,0,0.43812387851147216,10.276088313294748,-0.00870248834053414,-0.02966470650285886
BG12,0.9,0.8,2.0,Guarded-GP,3,0,9,100,18,38,0.7472540337921116,0.18860545021921343,0.3373512446667611,0,0.43812387851147216,10.276088313294748,-0.00870248834053414,-0.02966470650285886
BG12,0.9,0.8,2.0,Guarded-GP,4,0,9,100,18,38,0.7472540337921116,0.18860545021921343,0.3373512446667611,0,0.43812387851147216,10.276088313294748,-0.00870248834053414,-0.02966470650285886
