original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio,exact_certifiable_policies,best_policy_idx,best_policy_upper,best_policy_mean_B_H,best_policy_mean_B_L,method_certified_runs,method_runs
BG03,0.7,0.5,120.0,0.7,0.5,0.5,capacity_path;joint_harder,2.0,0,1.087295227920228,0,1,0.6215847263116268,0.036307257010222284,0.019388413281086432,0,11
BG03,0.7,0.5,160.0,0.7,0.5,0.5,capacity_path;joint_boundary,3.0,1,0.9715994020926756,0,0,0.34494920940771423,0.017288466355194484,0.004702463295240954,0,11
BG03,0.7,0.5,200.0,0.7,0.5,0.5,capacity_path;joint_boundary,4.0,15,0.0,0,2,0.15956788512757702,0.00583056572288126,0.0022841733477694166,0,11
BG03,0.7,0.5,240.0,0.7,0.5,0.5,capacity_path;joint_boundary,5.0,109,0.0,3,3,0.0937858649877965,0.0037881160524799893,0.0008647548868430938,0,11
BG03,0.7,0.5,40.0,0.7,0.5,0.25,delay_path,0.5,0,7.228069321585445,0,0,0.9983811729701603,0.14987149661374213,0.06383822596823484,0,11
BG03,0.7,0.5,40.0,0.7,0.5,1.0,delay_path,0.0,0,8.95677170895912,0,189,1.0,0.22634449775216695,0.19069009929643344,0,11
BG03,0.7,0.5,40.0,0.7,0.5,0.1,delay_path,0.8,0,4.967671588927339,0,13,0.99983122885689,0.15262550311075085,0.04317261315778505,0,11
BG03,0.7,0.5,40.0,0.7,0.5,2.0,delay_path,0.0,0,9.865774378077106,0,189,1.0,0.24089880896004265,0.21478262492666234,0,11
BG03,0.7,0.5,60.0,0.15,0.5,0.5,joint_safer,1.2857142857142856,36,0.2200778342279246,0,1,0.3164547505468185,0.012196849956332216,0.007848950446657978,0,11
BG03,0.7,0.5,60.0,0.2,0.5,0.5,joint_boundary,1.2142857142857144,3,0.9143758988212524,0,0,0.536572414418704,0.022769876849525184,0.016760200188880598,0,11
BG03,0.7,0.5,60.0,0.25,0.5,0.5,joint_harder,1.1428571428571428,0,1.2802650290308155,0,0,0.7475955847990066,0.03423465617158695,0.021191133190263618,0,11
BG03,0.7,0.5,80.0,0.2,0.5,0.5,joint_safer,1.7142857142857144,190,0.0,0,0,0.19838696759904956,0.006989297519464444,0.005543616160601863,0,11
BG03,0.7,0.5,80.0,0.25,0.5,0.5,joint_boundary,1.6428571428571428,14,0.2931323283082077,0,0,0.41484300626555887,0.016267335033148374,0.00985971636374386,0,11
BG03,0.7,0.5,80.0,0.3,0.5,0.5,joint_harder,1.5714285714285714,0,1.2463937800961964,0,0,0.5299346538729368,0.02134161864410703,0.013356606519939638,0,11
BG03,0.7,0.5,100.0,0.3,0.5,0.5,joint_safer,2.071428571428571,190,0.147568616226187,0,0,0.2876066226106646,0.011893716770263862,0.005000221511975577,0,11
BG03,0.7,0.5,100.0,0.35,0.5,0.5,joint_boundary,2.0,18,0.4609346476816356,0,0,0.394061713597051,0.018178904811137684,0.010583926050423138,0,11
BG03,0.7,0.5,100.0,0.4,0.5,0.5,joint_harder,1.9285714285714284,0,1.2724657111186,0,6,0.5232826920068157,0.02507475213955256,0.01370823487418597,0,11
BG03,0.7,0.5,120.0,0.6,0.5,0.5,joint_safer,2.142857142857143,0,1.999891896323262,0,0,0.5166164677468423,0.024527069579871143,0.012185563900783231,0,11
BG03,0.7,0.5,120.0,0.65,0.5,0.5,joint_boundary,2.071428571428571,7,0.7991551788109712,0,1,0.562982388813715,0.03150368896124496,0.01451007467586004,0,11
BG03,0.7,0.5,160.0,0.65,0.5,0.5,joint_safer,3.071428571428571,21,0.3389171035386632,0,8,0.3164547505468185,0.01458474887646575,0.0050654741514541525,0,11
