scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,n,viol_H,viol_L,upper_H,upper_L,certified
BG04,0.7,0.5,2.0,137,34.0,4.0,0.21723865703232648,0.18112096524470825,0.27647133690777737,0.2898788824850312,0.3313495830211978,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,138,34.0,6.0,0.21924209791121863,0.17898322995986468,0.27663010029483925,0.2849687588334807,0.3264632738777066,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,139,34.0,8.0,0.22045793065130131,0.1867455402268211,0.2791276664726709,0.27322624667183515,0.31509539664273584,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,140,34.0,10.0,0.2243113371063358,0.1850035236547352,0.2798016212802171,0.2632747642428121,0.30524500743484473,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,141,34.0,12.0,0.22592129210479925,0.18804196978351756,0.2816351209131806,0.26166821506835347,0.30391348320533057,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,142,34.0,14.0,0.22658284432777193,0.19254145200535272,0.2827135206358214,0.24969326645511983,0.292100294550493,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,143,34.0,16.0,0.2323050140176548,0.19996623738899186,0.28361318315208695,0.22605690853448698,0.2685988860073,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,144,34.0,18.0,0.2334517226789374,0.20035849372601633,0.28351858750069503,0.22360685067226996,0.26613463879737415,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,145,34.0,20.0,0.22923600851596537,0.19612283678607795,0.2828137807477236,0.22755505999050882,0.2699771271026674,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,146,34.0,22.0,0.2329014124495114,0.19573860873058765,0.2843137339578699,0.22499472615227223,0.26764178624595275,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,147,34.0,24.0,0.23175602929223638,0.19905436709941493,0.28347748623231744,0.21743535502594985,0.2599569779607974,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,148,34.0,26.0,0.23659509652386324,0.20123442191072624,0.2855620192202798,0.2054936559956288,0.24832795887867073,150,150,150,1.0,1.0,0
BG04,0.7,0.5,2.0,149,34.0,28.0,0.23435559853459917,0.20366881672870435,0.2844404180138962,0.20238146606604662,0.2450475287681311,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,150,34.0,30.0,0.23648760034704963,0.2043288253628238,0.2850634213051782,0.19533129753554254,0.23809081073131927,150,150,150,1.0,1.0,0
BG04,0.7,0.5,2.0,151,34.0,32.0,0.23636669798445628,0.20282980989658797,0.28514985791333836,0.1981140585490631,0.24088653723606385,150,150,150,1.0,1.0,0
BG04,0.7,0.5,2.0,152,34.0,34.0,0.23755288635265573,0.21002951765067523,0.2846207879936364,0.18731365896239205,0.2300067771614375,150,150,150,1.0,1.0,0
BG04,0.7,0.5,2.0,153,36.0,2.0,0.21819204535489084,0.1790681368178049,0.27689395908325776,0.28796508286337175,0.3294991767258604,150,150,147,1.0,0.9958563747187794,0
BG04,0.7,0.5,2.0,154,36.0,4.0,0.21483257409958356,0.17657703409601128,0.2750818332994437,0.29807997115404333,0.33934224614895986,150,150,148,1.0,0.9983811729701603,0
BG04,0.7,0.5,2.0,155,36.0,6.0,0.22162124794841864,0.18302560840719695,0.27727959653310447,0.27474743324134937,0.31633937272131507,150,150,149,1.0,0.99983122885689,0
BG04,0.7,0.5,2.0,156,36.0,8.0,0.22283734142600836,0.19011813953617548,0.2802748871944512,0.2649329881674613,0.30697422124662893,150,150,149,1.0,0.99983122885689,0
