scenario_id,rho,qH,tau,BH_limit,BL_limit,certifiable_policies
BG04,0.7,0.5,2.0,0.1,0.125,0
BG04,0.7,0.5,2.0,0.1,0.15,0
BG04,0.7,0.5,2.0,0.1,0.2,0
BG04,0.7,0.5,2.0,0.1,0.25,0
BG04,0.7,0.5,2.0,0.1,0.3,0
BG04,0.7,0.5,2.0,0.1,0.35,0
BG04,0.7,0.5,2.0,0.125,0.05,0
BG04,0.7,0.5,2.0,0.125,0.075,0
BG04,0.7,0.5,2.0,0.125,0.1,0
BG04,0.7,0.5,2.0,0.125,0.125,0
BG04,0.7,0.5,2.0,0.125,0.15,0
BG04,0.7,0.5,2.0,0.125,0.2,0
BG04,0.7,0.5,2.0,0.125,0.25,0
BG04,0.7,0.5,2.0,0.125,0.3,0
BG04,0.7,0.5,2.0,0.125,0.35,0
BG04,0.7,0.5,2.0,0.15,0.05,0
BG04,0.7,0.5,2.0,0.15,0.075,0
BG04,0.7,0.5,2.0,0.15,0.1,0
BG04,0.7,0.5,2.0,0.15,0.125,0
BG04,0.7,0.5,2.0,0.15,0.15,0
BG04,0.7,0.5,2.0,0.15,0.2,0
BG04,0.7,0.5,2.0,0.15,0.25,0
BG04,0.7,0.5,2.0,0.15,0.3,0
BG04,0.7,0.5,2.0,0.15,0.35,0
BG04,0.7,0.5,2.0,0.2,0.05,0
BG04,0.7,0.5,2.0,0.2,0.075,0
BG04,0.7,0.5,2.0,0.2,0.1,0
BG04,0.7,0.5,2.0,0.2,0.125,0
BG04,0.7,0.5,2.0,0.2,0.15,0
BG04,0.7,0.5,2.0,0.2,0.2,0
BG04,0.7,0.5,2.0,0.2,0.25,0
BG04,0.7,0.5,2.0,0.2,0.3,0
BG04,0.7,0.5,2.0,0.2,0.35,0
BG04,0.7,0.5,2.0,0.25,0.05,0
BG04,0.7,0.5,2.0,0.25,0.075,0
BG04,0.7,0.5,2.0,0.25,0.1,0
BG04,0.7,0.5,2.0,0.25,0.125,0
BG04,0.7,0.5,2.0,0.25,0.15,0
BG04,0.7,0.5,2.0,0.25,0.2,0
BG04,0.7,0.5,2.0,0.25,0.25,0
BG04,0.7,0.5,2.0,0.25,0.3,0
BG04,0.7,0.5,2.0,0.25,0.35,0
BG04,0.7,0.5,2.0,0.3,0.05,0
BG04,0.7,0.5,2.0,0.3,0.075,0
BG04,0.7,0.5,2.0,0.3,0.1,0
BG04,0.7,0.5,2.0,0.3,0.125,0
BG04,0.7,0.5,2.0,0.3,0.15,0
BG04,0.7,0.5,2.0,0.3,0.2,0
BG04,0.7,0.5,2.0,0.3,0.25,0
BG04,0.7,0.5,2.0,0.3,0.3,18
BG04,0.7,0.5,2.0,0.3,0.35,18
BG04,0.7,0.5,2.0,0.35,0.05,0
BG04,0.7,0.5,2.0,0.35,0.075,0
BG04,0.7,0.5,2.0,0.35,0.1,0
BG04,0.7,0.5,2.0,0.35,0.125,0
BG04,0.7,0.5,2.0,0.35,0.15,0
BG04,0.7,0.5,2.0,0.35,0.2,0
BG04,0.7,0.5,2.0,0.35,0.25,0
BG04,0.7,0.5,2.0,0.35,0.3,175
BG04,0.7,0.5,2.0,0.35,0.35,190
BG05,0.7,0.8,0.5,0.02,0.05,0
