original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio
BG04,0.7,2.0,160.0,0.65,0.5,2.0,joint_safer,3.071428571428571,0,1.6923672036547832
BG04,0.7,2.0,200.0,0.65,0.5,2.0,joint_safer,4.071428571428571,100,0.037037037037037
BG04,0.7,2.0,240.0,0.65,0.5,2.0,joint_safer,5.071428571428571,4,0.4147812971342383
BG05,0.7,0.5,40.0,0.025,0.8,0.5,load_path,0.9642857142857143,-1,
BG05,0.7,0.5,40.0,0.05,0.8,0.5,joint_boundary;load_path,0.9285714285714285,190,0.0478927203065134
BG05,0.7,0.5,40.0,0.075,0.8,0.5,load_path,0.8928571428571429,-1,
BG05,0.7,0.5,40.0,0.1,0.8,0.5,joint_harder;load_path,0.8571428571428572,0,1.0045844431574176
BG05,0.7,0.5,40.0,0.125,0.8,0.5,load_path,0.8214285714285714,-1,
BG05,0.7,0.5,40.0,0.15,0.8,0.5,load_path,0.7857142857142857,0,2.0484872687003257
BG05,0.7,0.5,40.0,0.2,0.8,0.5,load_path,0.7142857142857143,0,3.25494072379272
BG05,0.7,0.5,40.0,0.25,0.8,0.5,load_path,0.6428571428571428,0,4.993796540851517
BG05,0.7,0.5,40.0,0.3,0.8,0.5,load_path,0.5714285714285714,0,7.108065611350497
BG05,0.7,0.5,40.0,0.35,0.8,0.5,load_path,0.5,0,6.5724421581646135
BG05,0.7,0.5,40.0,0.4,0.8,0.5,load_path,0.4285714285714285,0,8.077927190878873
BG05,0.7,0.5,40.0,0.45,0.8,0.5,load_path,0.3571428571428571,0,6.470374397593004
BG05,0.7,0.5,40.0,0.5,0.8,0.5,load_path,0.28571428571428564,0,8.391912036964417
BG05,0.7,0.5,40.0,0.55,0.8,0.5,load_path,0.21428571428571416,0,8.433240382974914
BG05,0.7,0.5,40.0,0.6,0.8,0.5,load_path,0.14285714285714282,0,9.68724103128803
BG05,0.7,0.5,40.0,0.65,0.8,0.5,load_path,0.07142857142857134,0,11.65095201537403
BG05,0.7,0.5,40.0,0.7,0.8,0.5,baseline;capacity_path;delay_path;load_path,0.0,0,10.019885475679514
BG05,0.7,0.5,60.0,0.7,0.8,0.5,capacity_path,0.5,0,8.543649579626097
BG05,0.7,0.5,80.0,0.7,0.8,0.5,capacity_path,1.0,0,6.126247398531802
BG05,0.7,0.5,100.0,0.7,0.8,0.5,capacity_path,1.5,0,6.236736987157027
BG05,0.7,0.5,120.0,0.7,0.8,0.5,capacity_path,2.0,0,5.417680098225412
BG05,0.7,0.5,160.0,0.7,0.8,0.5,capacity_path,3.0,0,2.4933880980319216
BG05,0.7,0.5,200.0,0.7,0.8,0.5,capacity_path,4.0,0,3.3853614631191054
BG05,0.7,0.5,240.0,0.7,0.8,0.5,capacity_path;joint_harder,5.0,0,1.6688783436194603
BG05,0.7,0.5,40.0,0.7,0.8,0.1,delay_path,0.8,0,9.63895428441452
BG05,0.7,0.5,40.0,0.7,0.8,0.25,delay_path,0.5,0,9.92869940292642
BG05,0.7,0.5,40.0,0.7,0.8,1.0,delay_path,0.0,0,11.353551571123631
BG05,0.7,0.5,40.0,0.7,0.8,2.0,delay_path,0.0,0,13.489284852377512
BG05,0.7,0.5,60.0,0.1,0.8,0.5,joint_safer,1.3571428571428572,190,0.103121033806392
BG05,0.7,0.5,60.0,0.15,0.8,0.5,joint_boundary,1.2857142857142856,190,0.2441431254826531
BG05,0.7,0.5,60.0,0.2,0.8,0.5,joint_harder,1.2142857142857144,0,1.4421272016198323
BG05,0.7,0.5,80.0,0.25,0.8,0.5,joint_safer,1.6428571428571428,0,2.3769820913202344
BG05,0.7,0.5,80.0,0.3,0.8,0.5,joint_boundary,1.5714285714285714,2,0.999817574061316
BG05,0.7,0.5,80.0,0.35,0.8,0.5,joint_harder,1.5,0,2.77107064976133
BG05,0.7,0.5,100.0,0.2,0.8,0.5,joint_safer,2.2142857142857144,190,0.4119445343741333
BG05,0.7,0.5,100.0,0.25,0.8,0.5,joint_boundary,2.142857142857143,88,0.6514670306623771
BG05,0.7,0.5,100.0,0.3,0.8,0.5,joint_harder,2.071428571428571,0,1.2646780835408435
BG05,0.7,0.5,120.0,0.4,0.8,0.5,joint_safer,2.4285714285714284,1,0.9445276873154708
BG05,0.7,0.5,120.0,0.45,0.8,0.5,joint_boundary,2.357142857142857,31,0.38440765181743
BG05,0.7,0.5,120.0,0.5,0.8,0.5,joint_harder,2.2857142857142856,0,3.432268246935615
BG05,0.7,0.5,160.0,0.4,0.8,0.5,joint_safer,3.4285714285714284,78,0.5726411645809143
BG05,0.7,0.5,160.0,0.45,0.8,0.5,joint_boundary,3.357142857142857,182,0.7575757575757576
BG05,0.7,0.5,160.0,0.5,0.8,0.5,joint_harder,3.2857142857142856,0,1.4333498307858148
