original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio,method,init_seed,selected_idx,selected_alpha_on,selected_alpha_off,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,viol_H,viol_L,upper_H,upper_L,certified
BG01,0.7,0.5,40.0,0.125,0.2,0.5,load_path,0.8214285714285714,-1,,Guarded-GP,1,45,20.0,2.0,0.022247266269605413,0.01934649991468015,0.12278587791074878,0.11012828139726302,0.12854616308387534,72,7,0.562982388813715,0.0937858649877965,0
BG01,0.7,0.5,40.0,0.125,0.2,0.5,load_path,0.8214285714285714,-1,,Guarded-GP,2,45,20.0,2.0,0.022247266269605413,0.01934649991468015,0.12278587791074878,0.11012828139726302,0.12854616308387534,72,7,0.562982388813715,0.0937858649877965,0
BG01,0.7,0.5,40.0,0.125,0.2,0.5,load_path,0.8214285714285714,-1,,Guarded-GP,3,45,20.0,2.0,0.022247266269605413,0.01934649991468015,0.12278587791074878,0.11012828139726302,0.12854616308387534,72,7,0.562982388813715,0.0937858649877965,0
BG01,0.7,0.5,40.0,0.125,0.2,0.5,load_path,0.8214285714285714,-1,,Guarded-GP,4,45,20.0,2.0,0.022247266269605413,0.01934649991468015,0.12278587791074878,0.11012828139726302,0.12854616308387534,72,7,0.562982388813715,0.0937858649877965,0
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,Exhaustive-training,-1,91,28.0,2.0,0.08134716823929879,0.07136116398862356,0.20254023449102643,0.176102689989817,0.20648372516347094,145,114,0.9890898135310887,0.8258954526996672,0
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,DR-BGS,0,100,28.0,20.0,0.08374592419701934,0.07347326458379778,0.2041110085837322,0.15548903167857586,0.1861056829661357,148,120,0.9983811729701603,0.8608060007763415,0
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,DR-BGS,1,100,28.0,20.0,0.08374592419701934,0.07347326458379778,0.2041110085837322,0.15548903167857586,0.1861056829661357,148,120,0.9983811729701603,0.8608060007763415,0
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,DR-BGS,2,100,28.0,20.0,0.08374592419701934,0.07347326458379778,0.2041110085837322,0.15548903167857586,0.1861056829661357,148,120,0.9983811729701603,0.8608060007763415,0
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,DR-BGS,3,100,28.0,20.0,0.08374592419701934,0.07347326458379778,0.2041110085837322,0.15548903167857586,0.1861056829661357,148,120,0.9983811729701603,0.8608060007763415,0
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,DR-BGS,4,100,28.0,20.0,0.08374592419701934,0.07347326458379778,0.2041110085837322,0.15548903167857586,0.1861056829661357,148,120,0.9983811729701603,0.8608060007763415,0
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,Guarded-GP,0,91,28.0,2.0,0.08134716823929879,0.07136116398862356,0.20254023449102643,0.176102689989817,0.20648372516347094,145,114,0.9890898135310887,0.8258954526996672,0
BG01,0.7,0.5,40.0,0.25,0.2,0.5,load_path,0.6428571428571428,0,2.9699464050887645,Guarded-GP,1,105,30.0,2.0,0.0831658709473273,0.07291356339959044,0.20289523233473897,0.17096610522687966,0.20140039007709049,148,116,0.9983811729701603,0.8376307280494067,0
