scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,p95_B_H,p95_B_L
R15H01,0.7,0.2,0.5,10,10.0,2.0,150,126,63,0.8947133221604362,0.5032409468704364,0,0.059139669237374064,0.05050151312511292,0.2098225246869002,0.4960715112987877,0.5275448900018227,0.13845727848101264,0.11795475178850261
R15H01,0.7,0.2,0.5,11,10.0,4.0,150,127,64,0.9002480485844134,0.5099359118817948,0,0.0587186437159497,0.05158869038765403,0.20519907222112316,0.48827395918046496,0.5190538200136333,0.14157142857142851,0.11990913327120217
R15H01,0.7,0.2,0.5,12,10.0,6.0,150,129,71,0.9112017677435141,0.5564009801695735,0,0.06288675167144434,0.05440244300409224,0.21629083192928117,0.4776929470164602,0.5101365718058524,0.15950168918918908,0.1310809906291833
R15H01,0.7,0.2,0.5,13,10.0,8.0,150,123,65,0.8779003724223797,0.5166164677468423,0,0.06335373874751989,0.05298851821007289,0.21368450447211335,0.47520354372230617,0.5072562193931233,0.15591736694677868,0.11972375063815299
R15H01,0.7,0.2,0.5,14,10.0,10.0,150,135,73,0.9429425651637531,0.5695497845258534,0,0.06805962665540813,0.055539151877456255,0.21589100430276442,0.4683206190123044,0.5007042696577192,0.16513605442176865,0.12466361019298411
R15H01,0.7,0.2,0.5,15,12.0,2.0,150,134,61,0.9377894259935293,0.4898074362596504,0,0.06475810094970809,0.05120013015661412,0.213495887376491,0.48695386849151095,0.5189782515979846,0.14373015873015868,0.1285943775100401
R15H01,0.7,0.2,0.5,16,12.0,4.0,150,124,71,0.8835378266393749,0.5564009801695735,0,0.06866431355790248,0.05426586803310841,0.2130915442577177,0.47024590143170475,0.5022096330703625,0.16862514688601626,0.12668033517561061
R15H01,0.7,0.2,0.5,17,12.0,6.0,150,129,62,0.9112017677435141,0.49653148662366825,0,0.06504907291823038,0.0510117334554412,0.21017398770744747,0.4719802878538788,0.503506386009996,0.1608188291139239,0.12221561161351735
R15H01,0.7,0.2,0.5,18,12.0,8.0,150,136,78,0.9480298277055218,0.6021768343981538,0,0.07460925805516444,0.0616903679001801,0.2241887047440809,0.4516591393652061,0.48528744507681837,0.17851086380498138,0.14265811587793012
R15H01,0.7,0.2,0.5,19,12.0,10.0,150,131,77,0.9219854745695966,0.5956794266936972,0,0.07279154835422874,0.06039644720468019,0.2207082297793653,0.447179024466719,0.4802852589336239,0.156911928651059,0.14331822405708866
