scenario_id,rho,qH,tau,method,init_index,selected_idx,alpha_on,alpha_off,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,p95_B_H,p95_B_L
R15H02,0.7,0.2,2.0,Exhaustive-training,-1,21,14.0,2.0,150,149,139,0.99983122885689,0.9628253852180945,0,0.14267584411904094,0.13673996334545777,0.31596401539561614,0.30900064595157145,0.35639524826091384,0.27347368421052626,0.25519086176980904
R15H02,0.7,0.2,2.0,DR-BGS,0,21,14.0,2.0,150,149,139,0.99983122885689,0.9628253852180945,0,0.14267584411904094,0.13673996334545777,0.31596401539561614,0.30900064595157145,0.35639524826091384,0.27347368421052626,0.25519086176980904
R15H02,0.7,0.2,2.0,DR-BGS,1,21,14.0,2.0,150,149,139,0.99983122885689,0.9628253852180945,0,0.14267584411904094,0.13673996334545777,0.31596401539561614,0.30900064595157145,0.35639524826091384,0.27347368421052626,0.25519086176980904
R15H02,0.7,0.2,2.0,DR-BGS,2,21,14.0,2.0,150,149,139,0.99983122885689,0.9628253852180945,0,0.14267584411904094,0.13673996334545777,0.31596401539561614,0.30900064595157145,0.35639524826091384,0.27347368421052626,0.25519086176980904
R15H02,0.7,0.2,2.0,DR-BGS,3,21,14.0,2.0,150,149,139,0.99983122885689,0.9628253852180945,0,0.14267584411904094,0.13673996334545777,0.31596401539561614,0.30900064595157145,0.35639524826091384,0.27347368421052626,0.25519086176980904
R15H02,0.7,0.2,2.0,DR-BGS,4,21,14.0,2.0,150,149,139,0.99983122885689,0.9628253852180945,0,0.14267584411904094,0.13673996334545777,0.31596401539561614,0.30900064595157145,0.35639524826091384,0.27347368421052626,0.25519086176980904
R15H02,0.7,0.2,2.0,Guarded-GP,0,21,14.0,2.0,150,149,139,0.99983122885689,0.9628253852180945,0,0.14267584411904094,0.13673996334545777,0.31596401539561614,0.30900064595157145,0.35639524826091384,0.27347368421052626,0.25519086176980904
R15H02,0.7,0.2,2.0,Guarded-GP,1,21,14.0,2.0,150,149,139,0.99983122885689,0.9628253852180945,0,0.14267584411904094,0.13673996334545777,0.31596401539561614,0.30900064595157145,0.35639524826091384,0.27347368421052626,0.25519086176980904
R15H02,0.7,0.2,2.0,Guarded-GP,2,21,14.0,2.0,150,149,139,0.99983122885689,0.9628253852180945,0,0.14267584411904094,0.13673996334545777,0.31596401539561614,0.30900064595157145,0.35639524826091384,0.27347368421052626,0.25519086176980904
R15H02,0.7,0.2,2.0,Guarded-GP,3,21,14.0,2.0,150,149,139,0.99983122885689,0.9628253852180945,0,0.14267584411904094,0.13673996334545777,0.31596401539561614,0.30900064595157145,0.35639524826091384,0.27347368421052626,0.25519086176980904
R15H02,0.7,0.2,2.0,Guarded-GP,4,21,14.0,2.0,150,149,139,0.99983122885689,0.9628253852180945,0,0.14267584411904094,0.13673996334545777,0.31596401539561614,0.30900064595157145,0.35639524826091384,0.27347368421052626,0.25519086176980904
R15H03,0.7,0.5,0.5,Exhaustive-training,-1,5,6.0,6.0,150,144,48,0.985181478885102,0.40100578566330813,0,0.09999846880418471,0.04064601547101048,0.25679294809301356,0.5826971172422191,0.6212160594561711,0.21728796210335874,0.09637931034482745
R15H03,0.7,0.5,0.5,DR-BGS,0,5,6.0,6.0,150,144,48,0.985181478885102,0.40100578566330813,0,0.09999846880418471,0.04064601547101048,0.25679294809301356,0.5826971172422191,0.6212160594561711,0.21728796210335874,0.09637931034482745
