scenario_id,policy_idx,alpha_on,alpha_off,train_score,train_score_se,train_op_cost,train_W,train_B_H,train_B_L,train_cloud_fraction,diffusion_score,diffusion_W,diffusion_B_H,diffusion_B_L,diffusion_cloud_fraction,K,rho,qH,tau
C01,25,14.0,10.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470927,0.021772275844313953,1.5120410547656296e-10,1.5120410547656296e-10,0.0,40.0,0.05,0.2,0.5
C01,26,14.0,12.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647091,0.02177227584431394,1.5120410547656283e-10,1.5120410547656283e-10,0.0,40.0,0.05,0.2,0.5
C01,27,14.0,14.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470887,0.021772275844313925,1.5120410547656278e-10,1.5120410547656278e-10,0.0,40.0,0.05,0.2,0.5
C01,28,16.0,2.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,29,16.0,4.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,30,16.0,6.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647097,0.02177227584431398,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,31,16.0,8.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647096,0.021772275844313974,1.5120410547656307e-10,1.5120410547656307e-10,0.0,40.0,0.05,0.2,0.5
C01,32,16.0,10.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470927,0.021772275844313953,1.5120410547656296e-10,1.5120410547656296e-10,0.0,40.0,0.05,0.2,0.5
C01,33,16.0,12.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647091,0.02177227584431394,1.5120410547656283e-10,1.5120410547656283e-10,0.0,40.0,0.05,0.2,0.5
C01,34,16.0,14.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470887,0.021772275844313925,1.5120410547656278e-10,1.5120410547656278e-10,0.0,40.0,0.05,0.2,0.5
C01,35,16.0,16.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470866,0.02177227584431391,1.5120410547656268e-10,1.5120410547656268e-10,0.0,40.0,0.05,0.2,0.5
C01,36,18.0,2.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,37,18.0,4.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470987,0.02177227584431399,1.512041054765631e-10,1.512041054765631e-10,0.0,40.0,0.05,0.2,0.5
C01,38,18.0,6.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647097,0.02177227584431398,1.5120410547656312e-10,1.5120410547656312e-10,0.0,40.0,0.05,0.2,0.5
C01,39,18.0,8.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.003265841376647095,0.021772275844313967,1.5120410547656304e-10,1.5120410547656304e-10,0.0,40.0,0.05,0.2,0.5
C01,40,18.0,10.0,0.0034944028587943795,3.214858219203362e-05,0.0034944028587943795,0.023296019058629196,0.0,0.0,0.0,0.0032658413766470927,0.021772275844313953,1.5120410547656294e-10,1.5120410547656294e-10,0.0,40.0,0.05,0.2,0.5
